IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150114797,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/06/2015,16:30,BAYVIEW,NONE,3RD ST / REVERE AV,-122.391522893042,37.7324323864471,"(37.7324323864471, -122.391522893042)",15011479707021
150114991,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/06/2015,01:00,NORTHERN,"ARREST, BOOKED",1400 Block of FRANCISCO ST,-122.429059497393,37.8027392695456,"(37.8027392695456, -122.429059497393)",15011499107021
150115068,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/06/2015,04:00,CENTRAL,NONE,300 Block of CHESTNUT ST,-122.408839140379,37.8043594849441,"(37.8043594849441, -122.408839140379)",15011506807021
150115068,VEHICLE THEFT,STOLEN TRUCK,Friday,02/06/2015,04:00,CENTRAL,NONE,300 Block of CHESTNUT ST,-122.408839140379,37.8043594849441,"(37.8043594849441, -122.408839140379)",15011506807025
150115109,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/06/2015,18:45,NORTHERN,NONE,3100 Block of OCTAVIA ST,-122.429639104823,37.8011668722738,"(37.8011668722738, -122.429639104823)",15011510907021
150115278,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,02/05/2015,08:00,MISSION,NONE,25TH ST / TREAT AV,-122.412838554019,37.7509678760759,"(37.7509678760759, -122.412838554019)",15011527807021
150115381,VEHICLE THEFT,STOLEN TRUCK,Thursday,02/05/2015,09:00,INGLESIDE,NONE,1100 Block of TOMPKINS AV,-122.409449143117,37.7367854580254,"(37.7367854580254, -122.409449143117)",15011538107025
150115472,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/06/2015,16:30,INGLESIDE,"ARREST, BOOKED",400 Block of LELAND AV,-122.413404160627,37.7142411256852,"(37.7142411256852, -122.413404160627)",15011547207021
150115507,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/06/2015,11:00,MISSION,NONE,0 Block of LINDA ST,-122.423017163583,37.7608183312525,"(37.7608183312525, -122.423017163583)",15011550707021
150115513,VEHICLE THEFT,STOLEN TRUCK,Friday,02/06/2015,16:00,INGLESIDE,NONE,600 Block of EDINBURGH ST,-122.433721677127,37.718859841859,"(37.718859841859, -122.433721677127)",15011551307025
150116232,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/06/2015,00:01,MISSION,NONE,19TH ST / DIAMOND ST,-122.437040666891,37.7591567280326,"(37.7591567280326, -122.437040666891)",15011623207021
150116248,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/06/2015,19:30,PARK,"ARREST, BOOKED",0 Block of ANZAVISTA AV,-122.442204600234,37.7798162676961,"(37.7798162676961, -122.442204600234)",15011624807021
150116549,VEHICLE THEFT,STOLEN TRUCK,Thursday,02/05/2015,19:30,INGLESIDE,NONE,1000 Block of POWHATTAN AV,-122.409795297453,37.7413868875822,"(37.7413868875822, -122.409795297453)",15011654907025
150116759,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/06/2015,23:30,PARK,NONE,FULTON ST / BAKER ST,-122.441488426414,37.7764331716134,"(37.7764331716134, -122.441488426414)",15011675907021
150116834,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,02/07/2015,12:35,CENTRAL,NONE,600 Block of SUTTER ST,-122.411090752992,37.7889641756063,"(37.7889641756063, -122.411090752992)",15011683407021
150117111,VEHICLE THEFT,STOLEN MOTORCYCLE,Friday,02/06/2015,05:00,NORTHERN,NONE,2600 Block of GREENWICH ST,-122.443330103325,37.7980578628868,"(37.7980578628868, -122.443330103325)",15011711107023
